train_mIoU,train_OA,epoch,step,train_F1,val_mIoU,val_F1,val_OA
0.4770256661852692,0.8117090788133505,170,59678,0.8340392123515576,,,
0.47512370893039574,0.8095463968621283,171,60027,0.8321051931015995,,,
0.47962127239382135,0.8139974162366805,172,60376,0.8366849981154079,,,
0.4785691182250373,0.8130073000845047,173,60725,0.5570913383428793,,,
,,174,61074,,0.22030496577936298,0.32939339525268463,0.48880730052985694
0.4785194349479083,0.8131300699403428,174,61074,0.835557509721857,,,
0.4743751408864673,0.8088100619165807,175,61423,0.5542368646763385,,,
0.47794992158511923,0.8125276975440431,176,61772,0.5566655198071693,,,
0.4790929944443394,0.8133479121079757,177,62121,0.5574221987520628,,,
0.4831752057917141,0.8177020010087414,178,62470,0.5601865499137008,,,
,,179,62819,,0.13852402351321116,0.21629033331406264,0.36743073416228283
0.47936275970889647,0.8134266325942423,179,62819,0.5576077092724714,,,
0.4789675348331464,0.8137236324627282,180,63168,0.8360268568514048,,,
0.4795725717491191,0.8138805487777577,181,63517,0.557747080128331,,,
0.35671751893171055,0.8100765632694975,182,63866,0.5550788229622856,,,
0.4843794914576991,0.8185154168858568,183,64215,0.5609704158841752,,,
,,184,64564,,0.28253161138540966,0.39719000168990964,0.575623918287824
0.48126755942220534,0.8157089801777399,184,64564,0.5588993706502978,,,
0.47624010386407906,0.8110986616686625,185,64913,0.8332534980666758,,,
0.48139923336037566,0.8155354934298888,186,65262,0.8384662451615053,,,
0.4717062550998556,0.8062636804444058,187,65611,0.5523995698412688,,,
0.48568524223525245,0.8199635808993887,188,65960,0.5618566803353219,,,
,,189,66309,,0.3119179908719616,0.42494818935140993,0.6154815371673876
0.4754373708853179,0.8099313861661106,189,66309,0.5549479794610788,,,
0.47703202814769846,0.8112576547529772,190,66658,0.8340333827600648,,,
0.47684600062309546,0.8111325895205609,191,67007,0.8338545653877415,,,
0.48519759835280646,0.8196427746966779,192,67356,0.561539020369345,,,
0.4788085633348567,0.8135969276756132,193,67705,0.5572486174400847,,,
,,194,68054,,0.363716640996393,0.47014294018368075,0.6828978887879011
0.47810589738926934,0.8124483649573557,194,68054,0.5567537172882752,,,
0.48123911870122243,0.8158266564836474,195,68403,0.5588959931260927,,,
0.48267270093974607,0.8170824023577408,196,68752,0.839758405597703,,,
0.473607412531496,0.8082100067575885,197,69101,0.5537198870035694,,,
0.479215628528656,0.8136416547277936,198,69450,0.8362605228552068,,,
,,199,69799,,0.2193124252353403,0.328474646332965,0.4854039862604417
0.47269008918660393,0.8074864603386908,199,69799,0.8296314675377975,,,
