train_mIoU,epoch,train_F1,step,train_OA,val_F1,val_mIoU,val_OA
0.38643855707203834,301,0.4892369355245581,105397,0.7154629770186022,,,
0.38391917160908656,302,0.7307969504850271,105746,0.712423177025038,,,
0.38789559541276014,303,0.4904160350775523,106095,0.717264191810586,,,
0.38691337214899413,304,0.7344002820159558,106444,0.716223074576916,,,
0.38626268312960876,305,0.489076525806105,106793,0.7156678339130215,,,
0.38603983778656764,306,0.7333730352161535,107142,0.7149837242498096,,,
0.38843384090725586,307,0.49084634003320793,107491,0.7177743556506312,,,
0.3848581172751459,308,0.4879851135488204,107840,0.7135298108644675,,,
,309,,108189,,0.5421876699061049,0.4508133857877028,0.7827651524307692
0.3890745779588107,309,0.49136336072330006,108189,0.7184626407131424,,,
0.3876492083730998,310,0.49021351309351974,108538,0.7167989517692849,,,
0.3891197913234581,311,0.49140004618147753,108887,0.7183991352944796,,,
0.3887015628412625,312,0.49105610215048184,109236,0.7181811401017415,,,
0.3856784894107568,313,0.48863434448765747,109585,0.7145685671393713,,,
0.3854112549435363,314,0.48840598464081325,109934,0.7145041654308066,,,
0.38482872154233033,315,0.4879341708450032,110283,0.7136376717029123,,,
0.38973525343352255,316,0.4918760558304703,110632,0.7192390463755259,,,
0.38779530539238216,317,0.49031990037564777,110981,0.7170670954750737,,,
0.3841037412946779,318,0.48735287278532136,111330,0.7125814705660144,,,
,319,,111679,,0.5568388292344809,0.4588295284693205,0.7841027892462086
0.38933174345937543,319,0.49156183094306466,111679,0.7187890869840167,,,
0.3864493175567632,320,0.4892637066145642,112028,0.7154830233073848,,,
0.3856724575030706,321,0.7329108133312285,112377,0.714663420843873,,,
0.38636650581624793,322,0.4891870465889722,112726,0.715573067651437,,,
0.3882379596186452,323,0.49068887768542185,113075,0.7174356017891519,,,
0.3876190277229479,324,0.4902071290878222,113424,0.7167384194098092,,,
0.3837367643313671,325,0.4871129819659845,113773,0.7122398966704534,,,
0.38794217084005256,326,0.49046421098695586,114122,0.7174645453947662,,,
0.38436825199984526,327,0.4876949535908035,114471,0.7128882640412337,,,
0.38794846381008324,328,0.4904380304175904,114820,0.7175124641134266,,,
,329,,115169,,0.5694484066261555,0.46804964031987634,0.78746198899675
0.38675779849906383,329,0.489538187036254,115169,0.7157468604494984,,,
0.38644261290326903,330,0.48922437351687004,115518,0.7158903324159988,,,
0.3855984002626025,331,0.48855249552624774,115867,0.7146987040609889,,,
