train_OA,train_F1,train_mIoU,epoch,step,val_F1,val_mIoU,val_OA
0.6930543959653137,0.7111067257035768,0.3678533216722058,147,51651,,,
0.6892844476125984,0.7067414668470484,0.3643932220071582,148,52000,,,
,,,149,52349,0.4264943948718899,0.21652413147157282,0.5986290355720133
0.6918413440955743,0.7095318194518818,0.366614662581549,149,52349,,,
0.6983842385190946,0.7157303133115234,0.37161838280718307,150,52698,,,
0.6916984842294949,0.7095196570859417,0.3665810655263173,151,53047,,,
0.69330153151023,0.7110176419944261,0.3678048809621613,152,53396,,,
0.6924306000542845,0.7105124402940272,0.36735566709125794,153,53745,,,
0.696659711165551,0.7150154971979095,0.3709859741772507,154,54094,,,
0.6953153418948109,0.712975684468653,0.36937112626268237,155,54443,,,
0.6959279451124305,0.7138106283010239,0.3700520881887747,156,54792,,,
0.6938287467191416,0.7117299187842654,0.36836772858095185,157,55141,,,
0.6999476960190386,0.7176903134166337,0.3732030576970344,158,55490,,,
,,,159,55839,0.4500768731487567,0.2067686438774207,0.5085845040802901
0.694230000405735,0.7122593706907313,0.36878187831500014,159,55839,,,
0.6981197018336429,0.71605256780168,0.3718537685087722,160,56188,,,
0.6955674616860112,0.7135318327725271,0.36981947089231043,161,56537,,,
0.6916007011872648,0.7099075001282036,0.3668796853053668,162,56886,,,
0.6988903799849457,0.7165686860330189,0.37228950847346826,163,57235,,,
0.7022696333833273,0.7203999525952205,0.3753656404717141,164,57584,,,
0.6933640531960735,0.7107809040895251,0.3676222060028909,165,57933,,,
0.6949831899735851,0.712745078284337,0.36918050832189026,166,58282,,,
0.6969253627481978,0.714848781122837,0.37087268002659196,167,58631,,,
0.6967501490027309,0.7147811063007873,0.37081431654705693,168,58980,,,
,,,169,59329,0.4470052241692192,0.2288129981242779,0.6236647804184706
0.7032568420585041,0.7216763414836718,0.37640839159312794,169,59329,,,
0.6982471061640959,0.7159987284967466,0.37184178013310487,170,59678,,,
0.6995220238977994,0.7176793344805525,0.37314326562941186,171,60027,,,
0.7075439715453751,0.7254873697033112,0.3795514126150314,172,60376,,,
0.703691826850432,0.7215827504199391,0.3763474092135451,173,60725,,,
0.6980809427605658,0.7158283040328433,0.37167657117340175,174,61074,,,
0.6993802789289151,0.7172485945630152,0.372831367827915,175,61423,,,
0.7011470630722263,0.7188706765331683,0.3741678933339163,176,61772,,,
0.7019030726741582,0.7195651896267654,0.3747097429972916,177,62121,,,
0.7024173244705855,0.7204463090749404,0.37542799775063296,178,62470,,,
,,,179,62819,0.7301009833659979,0.3848471248951111,0.7094477285252928
0.7004660576325773,0.7183774995237084,0.37374525009349213,179,62819,,,
0.706264725387267,0.7240734172219206,0.3784074705585172,180,63168,,,
0.7001945036530152,0.7179983600863554,0.37343839831488346,181,63517,,,
0.6995103502683447,0.7170109226683261,0.3726679272489118,182,63866,,,
0.7050540781977523,0.7225694557930149,0.3771725398363414,183,64215,,,
0.7051905547308716,0.7226523835069834,0.3772883683146888,184,64564,,,
0.703443816876343,0.7212450296568116,0.3760869757559601,185,64913,,,
0.7122830060286643,0.7298688153709485,0.38318031631361915,186,65262,,,
0.7026904524226584,0.7204624995098623,0.3754446447498149,187,65611,,,
0.6973628615239971,0.7146192281863324,0.3707444110332791,188,65960,,,
,,,189,66309,0.7944131704175708,0.44208721810140955,0.7792553287921553
0.7038928799779502,0.7215532382077321,0.3763567662101284,189,66309,,,
0.7051874286465794,0.7229787539004406,0.37748554652411515,190,66658,,,
0.7012879773333967,0.7191899764583394,0.3744065582370644,191,67007,,,
0.7039600361384087,0.7216228715434085,0.3764143107807392,192,67356,,,
0.6997027684077833,0.7172721557396999,0.3728725292541579,193,67705,,,
0.6989270185672791,0.7164824098372153,0.37221537544307876,194,68054,,,
0.7022567355530309,0.7198245012703756,0.37494181880055527,195,68403,,,
0.7058116836329243,0.7234641443945897,0.3779193977498571,196,68752,,,
0.7054325311436693,0.7234074182189152,0.377837605796794,197,69101,,,
0.7083470472975241,0.726202915860712,0.3801658646932979,198,69450,,,
,,,199,69799,0.38696656863035184,0.20506958213740747,0.6059564269415213
0.7069389758615574,0.7245442966875374,0.37879323881803445,199,69799,,,
0.7040910474891989,0.7219552096838981,0.3766657810250614,200,70148,,,
0.7035056171581191,0.7211766248623082,0.37603506687505295,201,70497,,,
0.7034289078589495,0.7214281636376736,0.37625442320892494,202,70846,,,
0.7038416165677045,0.7216439524548754,0.37640560187133465,203,71195,,,
0.7075479064766519,0.7254387032945262,0.37953101761246716,204,71544,,,
0.7032124429172635,0.7208605247909601,0.37578447835913725,205,71893,,,
0.7121630124854493,0.730315945254419,0.38352135566067336,206,72242,,,
0.7055732049368171,0.7235409762534426,0.3779730568447562,207,72591,,,
0.7053780323454848,0.7232144709849966,0.37768118690961333,208,72940,,,
,,,209,73289,0.44223935485621946,0.19465266204004125,0.4585522944384275
0.706489344380988,0.7243998716218132,0.3786627656129186,209,73289,,,
0.7058959130229785,0.7234521065946241,0.3779112788903829,210,73638,,,
0.7117720114809052,0.7295583760141515,0.38291804008859853,211,73987,,,
0.7072964862287897,0.7253541734592935,0.3794321698102743,212,74336,,,
0.7094092164135252,0.7273713714975498,0.3811064940316548,213,74685,,,
0.7067892080050142,0.7248281928430222,0.37901608745385135,214,75034,,,
0.7114491722303679,0.7291740410634018,0.382607955049286,215,75383,,,
0.7068611516651928,0.7248269635279243,0.3790350082647867,216,75732,,,
0.7071522272760341,0.7252708915494901,0.3793606646931524,217,76081,,,
0.7089985844740552,0.7268109309124242,0.38064298696746524,218,76430,,,
,,,219,76779,0.75728131913059,0.4124073461671314,0.7668357320351163
0.707479329368788,0.7250832766351987,0.37925093604822235,219,76779,,,
0.7113397811408712,0.7291478090375014,0.38257493353056277,220,77128,,,
0.7090087715739164,0.7265443066086783,0.3804463708003321,221,77477,,,
0.7063662466142101,0.7241556387182391,0.3784835571906628,222,77826,,,
0.7061409062164218,0.7240599147817077,0.3783993654038653,223,78175,,,
0.7088190423041837,0.7267495669632991,0.3806244005604218,224,78524,,,
0.707258929495825,0.7249219883463108,0.3791047976967807,225,78873,,,
0.7066181040766586,0.7246608352458032,0.37887198519489457,226,79222,,,
0.709852442700405,0.7274554215109168,0.3811967149905812,227,79571,,,
0.7123220274304932,0.7307346538138049,0.38386822733710785,228,79920,,,
,,,229,80269,0.37725000035454764,0.20107482624753856,0.6017937990698474
0.7131669446185529,0.7306577521238664,0.38385449463407467,229,80269,,,
0.7085461329594039,0.7265834538211159,0.3804677928666529,230,80618,,,
0.709729126326334,0.7276369969549323,0.3813120210663623,231,80967,,,
0.7099940565049134,0.7277506350075272,0.38143843501710767,232,81316,,,
0.7114901610978352,0.7296332672366277,0.3829697430916476,233,81665,,,
0.7116895528099255,0.7299538411507509,0.3832252561605493,234,82014,,,
0.7113857761153518,0.7294902830607155,0.38282467630209993,235,82363,,,
0.7098555906454266,0.7279898495888416,0.3816127784159579,236,82712,,,
0.7122099911927493,0.7300893571868565,0.3833560351496601,237,83061,,,
0.7127882293438842,0.7304757645231457,0.3836758761188974,238,83410,,,
,,,239,83759,0.709947669971452,0.36782422314469687,0.6873868432375454
0.7103417732654123,0.7281626617051395,0.38178195590795133,239,83759,,,
0.7101497704798306,0.7275137086674958,0.38128052827526826,240,84108,,,
0.7114986867822685,0.72955980621161,0.3829017818339635,241,84457,,,
0.7131579817195334,0.7313076173994617,0.3843363689547346,242,84806,,,
0.7134012041939021,0.7313858024398776,0.3844361805090563,243,85155,,,
0.7108336833964787,0.7283536123680272,0.3819300713280562,244,85504,,,
0.7124803865536576,0.73001603015979,0.3833175417514511,245,85853,,,
0.7151846462129521,0.7333281612127801,0.3860253344976671,246,86202,,,
0.7160180427966623,0.7342006316253535,0.3867575128177368,247,86551,,,
0.7123326517449408,0.7302943875447476,0.38352339818576314,248,86900,,,
,,,249,87249,0.7366290093032406,0.39417474670260483,0.7451233816618955
0.7120169609528898,0.730376312643537,0.3835728610061058,249,87249,,,
0.7130224670585041,0.7306867018142287,0.3838516089695308,250,87598,,,
0.7128949097029458,0.7308946863013124,0.38401321090063795,251,87947,,,
0.7123760452926329,0.7303634655963367,0.3835625759051639,252,88296,,,
0.7161219905645594,0.7344566810910167,0.38696882387099235,253,88645,,,
0.7092516442766161,0.7274192009122864,0.38113030567950296,254,88994,,,
0.7159845084378916,0.734059606369637,0.38664734079076846,255,89343,,,
0.7140885929665114,0.7320504635609751,0.3849664936654848,256,89692,,,
0.7183045001972711,0.7368438407561269,0.38893970148769413,257,90041,,,
0.7134571676609508,0.7313708581800946,0.3844132218117569,258,90390,,,
,,,259,90739,0.7928847464449953,0.4404727967994259,0.7757794975054134
0.7155054086942043,0.7334243652718926,0.38613269711018344,259,90739,,,
0.7139854321848697,0.7322473386956807,0.38511139643912623,260,91088,,,
0.7127154549759915,0.7308364795732325,0.3839565575425236,261,91437,,,
0.7152695314248857,0.7336268484559958,0.3862676933454215,262,91786,,,
0.7131791647662404,0.7313484642925809,0.38437076931921904,263,92135,,,
0.7142588880478822,0.7322419658478452,0.38511870063866144,264,92484,,,
0.7155474468766788,0.7337757019026245,0.3863897146687112,265,92833,,,
0.7133499407836563,0.731666431273833,0.3846610270686582,266,93182,,,
0.7142762673276883,0.7327799725363532,0.3855455605094615,267,93531,,,
0.713862006507152,0.7317932632426647,0.384764168364746,268,93880,,,
,,,269,94229,0.7557335358276385,0.4067264625990064,0.7370872875251381
0.71111133651952,0.7291330909881466,0.3825582525162748,269,94229,,,
0.7135647005884558,0.7318909525687072,0.38482291930866364,270,94578,,,
0.7165130790120209,0.7354402468004915,0.38775168334744325,271,94927,,,
0.71427749152853,0.7324914802087075,0.385346467472199,272,95276,,,
0.713096990284742,0.7312667832389781,0.3843208914820982,273,95625,,,
